Trend_ID,Trend Name,Trend Description,Start Date,End Date,Impact Level,Trend Category,Created By,Created Date,Last Updated Date,ProductGroup_ID
1,Smart Home Automation,Rise in adoption of smart home automation systems,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,2
2,Remote Work Tools,Increased demand for remote work tools and software,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,3
3,Health and Wellness,Focus on health and wellness products and services,01/01/2023,31/12/2024,Medium,Lifestyle,Admin,01/01/2023,12/06/2024,4
4,Green Living,Surge in interest towards eco-friendly products and sustainability,01/01/2023,31/12/2024,Medium,Lifestyle,Admin,01/01/2023,12/06/2024,7
5,Remote Learning,Transition to remote learning platforms and educational technology,01/01/2023,31/12/2024,High,Education,Admin,01/01/2023,12/06/2024,4
6,Online Shopping Boom,Continued growth of online shopping and e-commerce,01/01/2023,31/12/2024,High,Retail,Admin,01/01/2023,12/06/2024,6
7,Digital Entertainment,Shift towards digital entertainment platforms and streaming services,01/01/2023,31/12/2024,High,Entertainment,Admin,01/01/2023,12/06/2024,7
8,Virtual Events,Increase in virtual events and conferences,01/01/2023,31/12/2024,High,Events,Admin,01/01/2023,12/06/2024,5
9,Remote Healthcare,Growth of telemedicine and remote healthcare services,01/01/2023,31/12/2024,High,Healthcare,Admin,01/01/2023,12/06/2024,4
10,Contactless Payments,Adoption of contactless payment methods and digital wallets,01/01/2023,31/12/2024,High,Finance,Admin,01/01/2023,12/06/2024,5
11,Smart Cities,Development of smart city initiatives and infrastructure,01/01/2023,31/12/2024,Medium,Technology,Admin,01/01/2023,12/06/2024,6
12,Artificial Intelligence,Growing use of artificial intelligence and machine learning,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,7
13,Augmented Reality,Expansion of augmented reality applications,01/01/2023,31/12/2024,Medium,Technology,Admin,01/01/2023,12/06/2024,8
14,Remote Collaboration,Increase in remote collaboration tools and platforms,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,9
15,Blockchain Technology,Adoption of blockchain technology in various industries,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,2
16,Subscription Economy,Rise of subscription-based business models,01/01/2023,31/12/2024,High,Economy,Admin,01/01/2023,12/06/2024,4
17,Data Privacy Concerns,Heightened focus on data privacy and security,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,4
18,Remote Fitness,Shift towards remote fitness and workout programs,01/01/2023,31/12/2024,High,Healthcare,Admin,01/01/2023,12/06/2024,7
19,5G Technology,Expansion of 5G networks and capabilities,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,4
20,Electric Vehicles,Growth of electric vehicle adoption and infrastructure,01/01/2023,31/12/2024,Medium,Technology,Admin,01/01/2023,12/06/2024,3
21,Remote Banking,Increase in online and mobile banking usage,01/01/2023,31/12/2024,High,Finance,Admin,01/01/2023,12/06/2024,3
22,Personalized Marketing,Trend towards personalized marketing strategies,01/01/2023,31/12/2024,High,Marketing,Admin,01/01/2023,12/06/2024,2
23,Eco-Friendly Packaging,Focus on eco-friendly packaging solutions,01/01/2023,31/12/2024,Medium,Environment,Admin,01/01/2023,12/06/2024,6
24,Remote Security,Surge in demand for remote security solutions,01/01/2023,31/12/2024,High,Security,Admin,01/01/2023,12/06/2024,9
25,Remote Gaming,Growth of remote gaming platforms and esports,01/01/2023,31/12/2024,High,Gaming,Admin,01/01/2023,12/06/2024,8
26,Cloud Computing,Expansion of cloud computing services and solutions,01/01/2023,31/12/2024,High,Technology,Admin,01/01/2023,12/06/2024,10
