Access_ID,Access Name,Description,Access Level,Active,Created By,Created Date,Last Updated By,Last Updated Date,Website URL,Customer_ID
2,Registered Users,Access limited to registered users,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/registered,2
5,Employees,Access limited to company employees,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/employees,5
6,Developers,Access restricted to developers and IT staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/developers,6
7,Partners,Access limited to authorized partners,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/partners,7
8,Subscribers,Access for subscribed users only,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/subscribers,8
9,Editors,Access limited to content editors and moderators,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/editors,9
10,Contributors,Access for contributors and authors,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/contributors,10
11,Testers,Access restricted to testers and quality assurance team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/testers,11
12,Clients,Access limited to clients and customers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/clients,12
13,Suppliers,Access for authorized suppliers and vendors,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/suppliers,13
14,Managers,Access limited to managers and team leaders,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/managers,14
15,Finance Team,Access restricted to finance department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/finance,15
16,HR Department,Access limited to human resources department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/hr,16
17,Sales Team,Access restricted to sales department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/sales,17
18,Marketing Team,Access limited to marketing department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/marketing,18
19,Support Team,Access restricted to customer support team members,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/support,19
20,IT Department,Access limited to IT department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/it,20
21,Legal Department,Access restricted to legal department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/legal,21
22,Production Team,Access limited to production department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/production,22
23,Logistics Team,Access restricted to logistics department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/logistics,23
